LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2
"WEH , Mumbai","Bandra, Mumbai",19.0759837,72.8776559,19.0606917,72.8362497
"Borivali , Mumbai","Malad, Mumbai",19.2371877,72.8441358,19.1867884,72.8488709
"Powai , Mumbai","Bandra, Mumbai",19.1196773,72.9050809,19.0606917,72.8362497
"Podar , Mumbai","Thane, Mumbai",18.934219,72.82411119999999,19.0759837,72.8776559
"BWSL , Mumbai","Mahalaxmi, Mumbai",19.0457193,72.8292998,18.983117,72.8168573
"Malad , Mumbai","Goregaon, Mumbai",19.1867884,72.8488709,19.1551485,72.8678551
"Andheri east, Mumbai","Santacruz, Mumbai",19.1154908,72.8726952,19.0825552,72.84176269999999
"Jogeshwari , Mumbai","Oshiwara, Mumbai",19.1405116,72.8421555,19.1483497,72.84047029999999
"Lkhdwala , Mumbai","Chakala, Mumbai",18.957047,72.827823,19.1097712,72.8582672
"Goregaon , Mumbai","Colaba, Mumbai",19.1551485,72.8678551,18.9067031,72.8147123
"Andheri , Mumbai","Juhu, Mumbai",19.1171389,72.846563,19.098821,72.8320717
"Bandra , Mumbai","Khar, Mumbai",19.0606917,72.8362497,19.0716903,72.8341267
"Powai , Mumbai","Ghansoli, Mumbai",19.1196773,72.9050809,19.1253629,72.99920130000001
"Mumbai , Mumbai","Mumbai Pune, Mumbai",19.0176169,72.8561288,19.2014158,73.0007083
"Borivali , Mumbai","Borivali, Mumbai",19.2371877,72.8441358,19.2371877,72.8441358
"Juhu , Mumbai","Bandra, Mumbai",19.098821,72.8320717,19.0606917,72.8362497
"Parsik, Mumbai","Belapur, Mumbai",19.2061723,73.0064264,19.0189704,73.0392364
"WEH , Mumbai","goregoan, Mumbai",19.0759837,72.8776559,19.1551485,72.8678551
"Goregaon , Mumbai","Dombivali, Mumbai",19.1551485,72.8678551,19.2171324,73.0833339
"Malad Oberoi mall, Mumbai","Andheri, Mumbai",19.173808,72.8605943,19.1171389,72.846563
"Swami Vivekananda Road, Mumbai","Andheri, Mumbai",19.1705527,72.8773037,19.1171389,72.846563
"EEH , Mumbai","Vikroli, Mumbai",19.0759837,72.8776559,19.091182,72.92086359999999
"Mahalaxmi , Mumbai","Churchgate, Mumbai",18.983117,72.8168573,18.9322453,72.8264378
"Byculla , Mumbai","Powai, Mumbai",18.9718388,72.8436024,19.1196773,72.9050809
"Bandra, Mumbai","Mount Mary, Mumbai",19.0606917,72.8362497,19.0468707,72.8234835
"Mahakali , Mumbai","Andheri, Mumbai",19.1253791,72.866447,19.1171389,72.846563
"Borivali , Mumbai","Church, Mumbai",19.2371877,72.8441358,18.9352861,72.82726869999999
"Haji Ali south , Mumbai","Saudamini, Mumbai",18.9778192,72.8104819,18.981527,72.8146998
"mumbai , Mumbai","Lonavala, Mumbai",19.0176169,72.8561288,18.7493892,73.4080759
"WEH Andheri flyover, Mumbai","Vile Parle, Mumbai",19.0759837,72.8776559,19.1030524,72.8466914
"Kurla , Mumbai","Ghatkopar, Mumbai",19.0599836,72.889999,19.0856491,72.9082207
"akurli Rd, Mumbai","lokhandwala, Mumbai",19.201254,72.8661214,18.957047,72.827823
"Borivali , Mumbai","Churchgate, Mumbai",19.2371877,72.8441358,18.9322453,72.8264378
"Borivali , Mumbai","jogeshwari, Mumbai",19.2371877,72.8441358,19.1405116,72.8421555
"Vashi , Mumbai","Mumbai, Mumbai",19.0770644,72.9989925,19.0176169,72.8561288
"Mumbai , Mumbai","bandra, Mumbai",19.0176169,72.8561288,19.0606917,72.8362497
"kopar , Mumbai","Ghatkopar, Mumbai",19.252701,73.021649,19.0856491,72.9082207
"Dadar , Mumbai","Sion, Mumbai",19.021324,72.84241779999999,19.0390214,72.86189519999999
"borivali highway, Mumbai","andheri, Mumbai",19.2336951,72.86391379999999,19.1171389,72.846563
"Chembur , Mumbai","Santacruz, Mumbai",19.0327996,72.89635679999999,19.0825552,72.84176269999999
"WEH , Mumbai","Kandivali, Mumbai",19.0759837,72.8776559,19.2045159,72.8520095
"Andheri WEH , Mumbai","bandra, Mumbai",19.0759837,72.8776559,19.0606917,72.8362497
"Mumbai-Pune expressway, Mumbai","Mumbai, Mumbai",18.9964198,73.1324692,19.0176169,72.8561288
"Pochkanwala Road, Mumbai","Worli, Mumbai",19.0759837,72.8776559,18.9872015,72.8290456
"Andheri flyover, Mumbai","Juhu Gali, Mumbai",19.1150205,72.84951339999999,19.1168205,72.83972190000001
"Kandivali , Mumbai","Goregaon, Mumbai",19.2045159,72.8520095,19.1551485,72.8678551
"Shivajinagar , Mumbai","Khadki, Mumbai",19.0637445,72.925386,18.5631806,73.8406198
"Malad , Mumbai","Dahisar, Mumbai",19.1867884,72.8488709,19.2499632,72.85939429999999
"Vashi, Mumbai","Dadar, Mumbai",19.0770644,72.9989925,19.021324,72.84241779999999
"Panvel , Mumbai","Dadar, Mumbai",18.9894007,73.1175162,19.021324,72.84241779999999
"Mumbai , Mumbai","Andheri, Mumbai",19.0176169,72.8561288,19.1171389,72.846563
"Chandivali , Mumbai","Kopar Khairane, Mumbai",19.1074911,72.90176029999999,19.102769,73.0090013
"Goregaon , Mumbai","Worli, Mumbai",19.1551485,72.8678551,18.9872015,72.8290456
"Mulund , Mumbai","Bombay, Mumbai",19.1565109,72.9637728,19.0176169,72.8561288
"Mira Road, Mumbai","goregaon, Mumbai",19.2797513,72.8561635,19.1551485,72.8678551
"andheri , Mumbai","Kalina, Mumbai",19.1171389,72.846563,19.076277,72.8653997
"Haji Ali south , Mumbai","Heera Panna, Mumbai",18.9778192,72.8104819,18.9773569,72.81054560000001
"Vashi Bridge, Mumbai","Navi Mumbai, Mumbai",19.0624142,72.9734576,19.0330488,73.0296625
"akurli Road, Mumbai","Lokhandwala, Mumbai",19.201254,72.8661214,18.957047,72.827823
"Bangalore , Mumbai","Mumbai, Mumbai",13.0422952,77.59015509999999,19.0176169,72.8561288
"WEH , Mumbai","Parle, Mumbai",19.0759837,72.8776559,19.1050428,72.8457203
"Andheri , Mumbai","Wadala, Mumbai",19.1171389,72.846563,19.0151285,72.8580644
"TCS Yantra , Mumbai","Dadar, Mumbai",19.0759837,72.8776559,19.021324,72.84241779999999
"India , Mumbai","Goregaon, Mumbai",19.0759837,72.8776559,19.1551485,72.8678551
"Bairamal , Mumbai","Mumbai, Mumbai",19.0871834,72.8848886,19.0176169,72.8561288
"Koparkhairane , Mumbai","Patlipada, Mumbai",19.1030799,73.0106406,19.2420512,72.9711542
"Worli , Mumbai","Borivali, Mumbai",18.9872015,72.8290456,19.2371877,72.8441358
"Nilesh , Mumbai","Mulund, Mumbai",19.2478462,72.8619097,19.1565109,72.9637728
"Kalanagar , Mumbai","Vakola, Mumbai",19.0531331,72.84712309999999,19.0788783,72.85003069999999
"Mahakali , Mumbai","Chakala, Mumbai",19.1253791,72.866447,19.1097712,72.8582672
"kasara Ghat , Mumbai","Nashik, Mumbai",18.9794978,72.8330254,19.9875634,73.7837693
"Andheri , Mumbai","Samta Nagar, Mumbai",19.1171389,72.846563,19.0819402,72.9155115
