SER,Distance,Speed,TIME
42,0.097,24.47566451195863,7
42,0.097,19.267505014071364,8
42,0.097,16.705168517005827,9
42,0.097,14.016572806927169,10
42,0.097,13.18967849354946,11
42,0.097,12.110469745308455,12
42,0.097,14.854081702502167,13
42,0.097,14.928863186180845,14
42,0.097,14.318143860835743,15
42,0.097,14.721087801087805,16
42,0.097,16.757498691784413,17
42,0.097,16.030021128629826,18
42,0.097,15.830132041871169,19
42,0.097,17.126490086000956,20
42,0.097,19.13448551448552,21
42,0.097,21.63444641014301,22
42,0.097,22.316069621396945,23
43,0.073,15.850699300699302,0
43,0.073,15.179292986425343,1
43,0.073,15.939053254437873,2
43,0.073,16.425000000000004,3
43,0.073,15.877500000000003,4
43,0.073,16.137068288854003,5
43,0.073,15.56664835164835,6
43,0.073,16.174509803921573,7
43,0.073,12.86714469519865,8
43,0.073,12.462726273726272,9
43,0.073,10.447818966747535,10
43,0.073,9.725846153846154,11
43,0.073,11.123274725274724,12
43,0.073,9.99297802197802,13
43,0.073,9.832418652775797,14
43,0.073,11.02540659340659,15
43,0.073,9.608506493506495,16
43,0.073,10.69129120879121,17
43,0.073,10.983692307692305,18
43,0.073,10.5550999000999,19
43,0.073,10.239052197802197,20
43,0.073,12.125627313862607,21
43,0.073,13.381316643882434,22
43,0.073,14.64964892434707,23
44,0.092,23.261621137483203,0
44,0.092,24.772019704433493,1
44,0.092,22.502523683213333,2
44,0.092,23.657142857142848,3
44,0.092,23.657142857142848,4
44,0.092,26.41569858712715,5
44,0.092,25.12914285714285,6
44,0.092,24.11714285714285,7
44,0.092,18.344776453396076,8
44,0.092,14.895686958252474,9
44,0.092,15.32253284974467,10
44,0.092,12.021712626021857,11
44,0.092,15.34265077599449,12
44,0.092,16.934549499443825,13
44,0.092,14.297148986402124,14
44,0.092,14.299984109327823,15
44,0.092,14.190236135388528,16
44,0.092,15.111800825359124,17
44,0.092,15.38233612438729,18
44,0.092,16.135363487087623,19
44,0.092,13.071001389415182,20
44,0.092,16.729501770956315,21
44,0.092,21.317211209842785,22
44,0.092,20.231932747690724,23
45,0.13,25.228708133971285,0
45,0.13,25.291786926994902,1
45,0.13,23.153920358079947,2
45,0.13,25.555263157894736,3
45,0.13,25.621240601503757,4
45,0.13,24.74736544919611,5
